Interested_Area,programming,Web,Mobile,Software,Linux,UML,UI,Network,Security,Cloud,BigData,ML,Mathematics,Statistics,Support,Topup_Course,choice
Multimedia,3,9,2,4,4,7,8,2,2,4,3,2,4,1,3,IM,3D Visualizer
IT,1,3,4,0,3,1,4,3,0,0,2,2,1,3,3,Information,TechOps EngineerDevops Engineer
Cyber,3,3,0,2,4,2,4,0,1,3,0,3,1,1,0,CyberSecurity,Secure Software Developer
Business,1,3,3,3,3,10,2,6,9,7,8,6,1,3,10,ISE,IS Auditor
Networking,1,3,1,1,9,3,0,10,10,7,4,1,0,3,3,CSN,Infrastructure Engineer
Computational Theory,10,9,6,6,6,6,3,2,2,6,7,7,6,8,4,CS,Software Engineer
Multimedia,1,5,3,0,3,7,6,4,2,3,2,2,0,2,4,IM,3d Modeler
Cyber,0,4,1,2,0,1,1,3,4,2,0,3,4,3,4,CyberSecurity,Network Engineer
Multimedia,4,7,4,3,4,8,8,3,1,1,4,0,4,3,3,IM,Multimedia Programmer
Analytics,8,1,3,0,0,6,0,2,0,3,9,5,8,8,0,Data,IT Consultant 
Business,0,2,1,3,2,6,3,6,6,7,8,8,1,2,5,ISE,Business Analyst
Business,0,0,2,0,1,7,3,10,6,6,7,10,1,4,8,ISE,Business Analyst
IT,3,2,2,0,4,3,1,2,0,0,3,2,4,2,3,Information,Cloud Engineer
Analytics,8,1,2,2,3,9,0,0,1,0,7,8,6,6,1,Data,IT Consultant 
Multimedia,1,7,3,1,0,9,9,0,1,0,3,4,4,2,0,IM,UI Engineer
Multimedia,3,9,2,4,4,7,8,2,2,4,3,2,4,1,3,IM,3D Visualizer
IT,1,3,4,0,3,1,4,3,0,0,2,2,1,3,3,Information,TechOps EngineerDevops Engineer
Cyber,3,3,0,2,4,2,4,0,1,3,0,3,1,1,0,CyberSecurity,Secure Software Developer
Business,1,3,3,3,3,10,2,6,9,7,8,6,1,3,10,ISE,IS Auditor
Networking,1,3,1,1,9,3,0,10,10,7,4,1,0,3,3,CSN,Infrastructure Engineer
Computational Theory,10,9,6,6,6,6,3,2,2,6,7,7,6,8,4,CS,Software Engineer
Multimedia,1,5,3,0,3,7,6,4,2,3,2,2,0,2,4,IM,3d Modeler
Cyber,0,4,1,2,0,1,1,3,4,2,0,3,4,3,4,CyberSecurity,Network Engineer
Multimedia,4,7,4,3,4,8,8,3,1,1,4,0,4,3,3,IM,Multimedia Programmer
Analytics,8,1,3,0,0,6,0,2,0,3,9,5,8,8,0,Data,IT Consultant
Business,0,2,1,3,2,6,3,6,6,7,8,8,1,2,5,ISE,Business Analyst
Business,0,0,2,0,1,7,3,10,6,6,7,10,1,4,8,ISE,Business Analyst
IT,3,2,2,0,4,3,1,2,0,0,3,2,4,2,3,Information,Cloud Engineer
Analytics,8,1,2,2,3,9,0,0,1,0,7,8,6,6,1,Data,IT Consultant
Multimedia,1,7,3,1,0,9,9,0,1,0,3,4,4,2,0,IM,UI Engineer
Computational Theory,8,7,8,9,6,9,2,0,3,9,10,7,6,8,0,CS,Technical Consultant
Networking,1,1,2,4,6,3,0,9,6,10,3,2,0,0,3,CSN,Network Programmer
Cyber,4,2,2,2,1,4,0,3,0,4,3,4,2,3,2,CyberSecurity,Forensics Investigator
Systems,0,3,3,4,10,2,3,6,4,4,0,4,8,9,5,CSE,Aeronautics Engineer
Analytics,10,4,0,2,1,6,1,1,2,1,10,6,8,7,1,Data,IT Consultant
Systems,0,0,2,4,7,1,2,7,0,4,3,1,6,9,9,CSE,Systems Security Analyst
Analytics,6,3,2,3,1,7,2,0,1,4,10,6,7,6,3,Data,Business Analyst
IT,2,3,4,0,4,3,3,3,4,3,4,3,2,3,4,Information,Infrastructure Engineer
Networking,3,1,2,0,8,3,1,7,10,7,4,0,3,4,0,CSN,Embedded Software Designer
Systems,1,0,4,4,6,4,4,10,2,3,1,2,10,6,9,CSE,Computer System Design Engineer
Business,0,3,4,3,1,7,4,9,6,10,6,6,4,3,6,ISE,Business Analyst
Analytics,7,1,2,1,0,10,4,3,1,0,8,7,9,9,1,Data,DataBase Engineer
Cyber,3,0,0,4,2,2,4,3,2,0,0,1,2,3,4,CyberSecurity,Penetration and Vulnerability Tester
Networking,4,2,1,2,6,1,4,7,7,7,1,2,0,3,1,CSN,Network Programmer
Business,1,4,2,4,3,6,4,10,6,9,6,9,0,2,5,ISE,IT Consultant
Cyber,3,1,0,4,3,0,4,0,2,0,0,0,3,0,4,CyberSecurity,Risk Specialist
Cyber,0,3,3,4,0,2,3,0,3,3,2,1,4,4,2,CyberSecurity,Secure Software Developer
